"","year","site","variety","tree","branch","rn","1","2","3","4","5","6","7","8","9","10","11","12","AUDPCm"
"100",2016,"agaro","L-54",1,"bot",1,0,16.9038461538462,16,20.3938461538462,18.1538461538462,14.7638461538462,11.5338461538462,5.55384615384616,2,0,4.85042735042735,0,110.153504273504
"101",2016,"agaro","L-54",1,"mid",1,0,4.47222222222223,6.84222222222223,7.96222222222223,5.72222222222223,2.33222222222223,0,0,0,0,0,0,27.3311111111111
"102",2016,"agaro","L-54",1,"top",1,0,0,0.525982905982907,1.64598290598291,0,0,0,0,0,0,0,0,2.17196581196581
"103",2016,"agaro","L-54",2,"bot",1,0,18.1474358974359,15,21.6374358974359,19.3974358974359,16.0074358974359,12.7774358974359,6.7974358974359,3,0,0,0,112.764615384615
"104",2016,"agaro","L-54",2,"mid",1,0,8.73717948717948,11.1071794871795,12.2271794871795,9.98717948717948,6.59717948717948,3.36717948717948,0,0,0,0,0,52.0230769230769
"105",2016,"agaro","L-54",2,"top",1,0,2.61752136752137,4.98752136752137,6.10752136752137,3.86752136752137,0,0,0,0,0,0,0,17.5800854700855
"106",2016,"agaro","L-54",3,"bot",1,0,16.3440170940171,15,19.8340170940171,17.5940170940171,14.2040170940171,10.9740170940171,4.9940170940171,1.2,0,2.18803418803419,0,102.332136752137
"107",2016,"agaro","L-54",3,"mid",1,0,5.79273504273504,8.16273504273504,9.28273504273504,7.04273504273504,3.65273504273504,0,0,0,2.78205128205128,0,0,36.7157264957265
"108",2016,"agaro","L-54",3,"top",1,0,0,3.12854700854701,4.24854700854701,2.00854700854701,0,0,0,0,0,0,0,9.38564102564103
"109",2016,"gera","741",1,"bot",1,0,1.16752136752137,4.05752136752137,5.28752136752137,6.81752136752137,7.13752136752137,1.16752136752137,1.16752136752137,1.16752136752137,0,0,0,27.970170940171
"110",2016,"gera","741",1,"mid",1,0,0.455270655270654,3.34527065527065,4.57527065527065,6.10527065527065,6.42527065527065,0.455270655270654,0,0,0,0,0,21.3616239316239
"111",2016,"gera","741",1,"top",1,0,0,0,1.01401709401709,2.54401709401709,2.86401709401709,0,0,0,0,0,0,6.42205128205128
"112",2016,"gera","741",2,"bot",1,0,0.34,1.92076923076923,3.15076923076923,4.68076923076923,5.00076923076923,0.34,0.34,0,0,0,0,15.7730769230769
"113",2016,"gera","741",2,"mid",1,0,0,0,2.38,3.91,4.23,0,0,0,0,0,0,10.52
"114",2016,"gera","741",2,"top",1,0,0,0,0,1.81,2.13,0,0,0,0,0,0,3.94
"115",2016,"gera","741",3,"bot",1,0,0.89,2.15,3.38,4.91,5.23,0.89,0,0,0,0,0,17.45
"116",2016,"gera","741",3,"mid",1,0,0.67,2.15,3.38,4.91,5.23,0.67,0.67,0.67,0,0,0,18.35
"117",2016,"gera","741",3,"top",1,0,0,0,0.49,2.02,2.34,0,0,0,0,0,0,4.85
"118",2016,"gera","74110",1,"bot",1,0,0.458119658119658,3.34811965811966,4.57811965811966,6.10811965811966,6.42811965811966,0.458119658119658,0.458119658119658,0.458119658119658,0,0,0,22.2949572649573
"119",2016,"gera","74110",1,"mid",1,0,0,0,0.3,1.83,2.15,0,0,0,0,0,0,4.28
"120",2016,"gera","74110",1,"top",1,0,0,0,0,1.67,1.99,0,0,0,0,0,0,3.66
"121",2016,"gera","74110",2,"bot",1,0,3.59059829059829,6.48059829059829,7.71059829059829,9.24059829059829,9.56059829059829,3.59059829059829,0,0,0,0,0,40.1735897435898
"122",2016,"gera","74110",2,"mid",1,0,0.54,0.15,1.38,2.91,3.23,0.54,0.54,0.54,0,0,0,9.83
"123",2016,"gera","74110",2,"top",1,0,0,0,0.28,1.81,2.13,0,0,0,0,0,0,4.22
"124",2016,"gera","74110",3,"bot",1,0,0.67,2.01905982905983,3.24905982905983,4.77905982905983,5.09905982905983,0.67,0.67,0.67,0,0,0,17.8262393162393
"125",2016,"gera","74110",3,"mid",1,0,0,0,2.38,3.91,4.23,0,0,0,0,0,0,10.52
"126",2016,"gera","74110",3,"top",1,0,0,0,0,1.81,2.13,0,0,0,0,0,0,3.94
"127",2016,"gera","74112",1,"bot",1,0,0.5,2.16008547008547,3.39008547008547,4.92008547008547,5.24008547008547,0.5,0.5,0.5,0,0,0,17.7103418803419
"128",2016,"gera","74112",1,"mid",1,0,0,0,0.55,2.08,2.4,0,0,0,0,0,0,5.03
"129",2016,"gera","74112",1,"top",1,0,0,0,0,0.78,1.1,0,0,0,0,0,0,1.88
"130",2016,"gera","74112",2,"bot",1,0,1.16435897435897,1.16435897435897,2.39435897435897,3.92435897435897,4.24435897435897,1.16435897435897,0,0,0,0,0,14.0561538461538
"131",2016,"gera","74112",2,"mid",1,0,0.16,0.16,1.39,2.92,3.24,0.16,0.16,0.16,0,0,0,8.35
"132",2016,"gera","74112",2,"top",1,0,0,0,0,1.99,2.31,0,0,0,0,0,0,4.3
"133",2016,"gera","74112",3,"bot",1,0,0.88,3.77,5,10.91,11.23,0.88,0.88,0,0,0,0,33.55
"134",2016,"gera","74112",3,"mid",1,0,0,0,0.82,2.35,2.67,0,0,0,0,0,0,5.84
"135",2016,"gera","74112",3,"top",1,0,0,0,0,1.13,1.45,0,0,0,0,0,0,2.58
"136",2016,"gera","74140",1,"bot",1,0,0.98,0.33,0.98,0.33,0.65,0.33,0.33,0.33,0,0,0,4.26
"137",2016,"gera","74140",1,"mid",1,0,0,0.46,0,0.46,0.78,0.46,0.46,0.46,0,0,0,3.08
"138",2016,"gera","74140",1,"top",1,0,0,0.66,0,0.66,0.98,0.66,0.66,0.66,0,0,0,4.28
"139",2016,"gera","74140",2,"bot",1,0,0.16,0,0.16,0.66,0.98,0,0,0,0,0,0,1.96
"140",2016,"gera","74140",2,"mid",1,0,0,0.24,0,0.24,0.56,0.24,0,0,0,0,0,1.28
"141",2016,"gera","74140",2,"top",1,0,0,0.02,0,0.02,0.34,0.02,0,0,0,0,0,0.4
"142",2016,"gera","74140",3,"bot",1,0,0,0,0,0.44,0.76,0,0,0,0,0,0,1.2
"143",2016,"gera","74140",3,"mid",1,0,0,0,0,0.23,0.17,0,0,0,0,0,0,0.4
"144",2016,"gera","74140",3,"top",1,0,0,0,0,0.02,0.34,0,0,0,0,0,0,0.36
"145",2016,"gera","74148",1,"bot",1,0,0.33,0.76,0.33,1.24,1.56,0.76,0.76,0.76,0,0,0,6.5
"146",2016,"gera","74148",1,"mid",1,0,0.46,0,0.46,0.66,0.98,0,0,0,0,0,0,2.56
"147",2016,"gera","74148",1,"top",1,0,0.66,0,0.66,0.44,0.76,0,0,0,0,0,0,2.52
"148",2016,"gera","74148",2,"bot",1,0,0,0.87,0,0.979914529914531,1.29991452991453,0.87,0.87,0,0,0,0,4.88982905982906
"149",2016,"gera","74148",2,"mid",1,0,0.24,0,0.24,0.66,0.98,0,0,0,0,0,0,2.12
"150",2016,"gera","74148",2,"top",1,0,0.02,0,0.02,0.35,0.67,0,0,0,0,0,0,1.06
"151",2016,"gera","74148",3,"bot",1,0,0,3.34527065527065,0,6.10527065527065,6.42527065527065,3.34527065527065,0,0,0,0,0,19.2210826210826
"152",2016,"gera","74148",3,"mid",1,0,0,0.45,0,1.89,2.21,0.45,0.45,0.45,0,0,0,5.9
"153",2016,"gera","74148",3,"top",1,0,0,0,0,0.46,0.78,0,0,0,0,0,0,1.24
"154",2016,"gera","74158",1,"bot",1,0,0.76,2.38,0.76,3.91,4.23,2.38,2.38,2.38,0,0,0,19.18
"155",2016,"gera","74158",1,"mid",1,0,0,1.36,0,2.89,3.21,1.36,1.36,1.36,0,0,0,11.54
"156",2016,"gera","74158",1,"top",1,0,0,0,0,0.91,1.23,0,0,0,0,0,0,2.14
"157",2016,"gera","74158",2,"bot",1,0,0.87,0.98,0.87,0.91,1.23,0,0,0,0,0,0,4.86
"158",2016,"gera","74158",2,"mid",1,0,0,0,0,0.66,0.98,0,0,0,0,0,0,1.64
"159",2016,"gera","74158",2,"top",1,0,0,0,0,0.77,1.09,0,0,0,0,0,0,1.86
"160",2016,"gera","74158",3,"bot",1,0,3.34527065527065,0.737008547008545,4.57527065527065,3.49700854700854,3.81700854700854,0,0,0,0,0,0,15.9715669515669
"161",2016,"gera","74158",3,"mid",1,0,0.45,0,0.36,0.91,1.23,0,0,0,0,0,0,2.95
"162",2016,"gera","74158",3,"top",1,0,0,0,0,0.91,1.23,0,0,0,0,0,0,2.14
"163",2016,"gera","7416",1,"bot",1,0,0.496267806267808,0.496267806267808,1.72626780626781,3.25626780626781,3.57626780626781,0.496267806267808,0.496267806267808,0.496267806267808,0,0,0,11.0401424501425
"164",2016,"gera","7416",1,"mid",1,0,0,0,0.82,2.35,2.67,0,0,0,0,0,0,5.84
"165",2016,"gera","7416",1,"top",1,0,0,0,0.64,0.64,0.96,0,0,0,0,0,0,2.24
"166",2016,"gera","7416",2,"bot",1,0,0.87,0.87,0.29,1.82,2.14,0.87,0.87,0.87,0,0,0,8.6
"167",2016,"gera","7416",2,"mid",1,0,0,0,0.27,1.8,2.12,0,0,0,0,0,0,4.19
"168",2016,"gera","7416",2,"top",1,0,0,0,0.9,1.02,1.34,0,0,0,0,0,0,3.26
"169",2016,"gera","7416",3,"bot",1,0,0.89,0.89,0.351623931623935,1.88162393162393,2.20162393162393,0.89,0.89,0.89,0,0,0,8.8848717948718
"170",2016,"gera","7416",3,"mid",1,0,0.67,0.67,0.56,1.13,1.45,0.67,0.67,0.67,0,0,0,6.49
"171",2016,"gera","7416",3,"top",1,0,0,0,0.54,1.21,1.53,0,0,0,0,0,0,3.28
"172",2016,"gera","74165",1,"bot",1,0,2.38,0.37,2.38,3.13,3.45,0,0,0,0,0,0,11.71
"173",2016,"gera","74165",1,"mid",1,0,1.36,1.16008547008547,1.36,3.92008547008547,4.24008547008547,0,0,0,0,0,0,12.0402564102564
"174",2016,"gera","74165",1,"top",1,0,0,0,0,0.66,0.98,0,0,0,0,0,0,1.64
"175",2016,"gera","74165",2,"bot",1,0,0,3.35,0.98,6.11,6.43,0.459999999999999,0.459999999999999,0.459999999999999,0,0,0,18.25
"176",2016,"gera","74165",2,"mid",1,0,0,0.78,0,1.01776556776557,1.33776556776557,0,0,0,0,0,0,3.13553113553114
"177",2016,"gera","74165",2,"top",1,0,0,0,0,0.66,0.98,0,0,0,0,0,0,1.64
