"","site","year","month","variety","tree","branch","incidence","severity","sld"
"176","agaro",2016,2,"F-35",2,"mid",7.63999999999999,3.36717948717948,0.921948717948715
"177","agaro",2016,2,"F-35",2,"bot",29.66,12.7774358974359,8.66658974358974
"178","agaro",2016,2,"F-35",3,"top",0,0,0
"179","agaro",2016,2,"F-35",3,"mid",0,0,0
"180","agaro",2016,2,"F-35",3,"bot",25.44,10.9740170940171,7.18237606837606
"181","agaro",2016,2,"7454",1,"top",1,1,1
"182","agaro",2016,2,"7454",1,"mid",3,1,1
"183","agaro",2016,2,"7454",1,"bot",6,2,3
"184","agaro",2016,2,"7454",2,"top",3,3,2
"185","agaro",2016,2,"7454",2,"mid",5,2,1.6
"186","agaro",2016,2,"7454",2,"bot",10,4,3
"187","agaro",2016,2,"7454",3,"top",0,0,0
"188","agaro",2016,2,"7454",3,"mid",4,2,1
"189","agaro",2016,2,"7454",3,"bot",5,3,2
"190","agaro",2016,2,"74112",1,"top",0,0,0
"191","agaro",2016,2,"74112",1,"mid",0,0,0
"192","agaro",2016,2,"74112",1,"bot",27.32,12.0538461538462,8.07311538461538
"193","agaro",2016,2,"74112",2,"top",0,0,0
"194","agaro",2016,2,"74112",2,"mid",8.20999999999999,3.88717948717948,1.35194871794871
"195","agaro",2016,2,"74112",2,"bot",30.23,13.2974358974359,9.09658974358974
"196","agaro",2016,2,"74112",3,"top",0,0,0
"197","agaro",2016,2,"74112",3,"mid",0,0,0
"198","agaro",2016,2,"74112",3,"bot",26.01,11.4940170940171,7.61237606837606
"199","agaro",2016,3,"74140",1,"top",0,0,0
"200","agaro",2016,3,"74140",1,"mid",0,0,0
"201","agaro",2016,3,"74140",1,"bot",15.63,5.18384615384616,2.40311538461538
"202","agaro",2016,3,"74140",2,"top",0,0,0
"203","agaro",2016,3,"74140",2,"mid",0,0,0
"204","agaro",2016,3,"74140",2,"bot",18.54,6.4274358974359,3.42658974358974
"205","agaro",2016,3,"74140",3,"top",0,0,0
"206","agaro",2016,3,"74140",3,"mid",0,0,0
"207","agaro",2016,3,"74140",3,"bot",14.32,4.62401709401709,1.94237606837606
"208","agaro",2016,3,"F-59",1,"top",0,0,0
"209","agaro",2016,3,"F-59",1,"mid",0,0,0
"210","agaro",2016,3,"F-59",1,"bot",25.73,8.37384615384616,4.86311538461538
"211","agaro",2016,3,"F-59",2,"top",0,0,0
"212","agaro",2016,3,"F-59",2,"mid",0,0,0
"213","agaro",2016,3,"F-59",2,"bot",28.64,9.6174358974359,5.88658974358974
"214","agaro",2016,3,"F-59",3,"top",0,0,0
"215","agaro",2016,3,"F-59",3,"mid",0,0,0
"216","agaro",2016,3,"F-59",3,"bot",24.42,7.8140170940171,4.40237606837606
"217","agaro",2016,3,"L-03",1,"top",0,0,0
"218","agaro",2016,3,"L-03",1,"mid",0,0,0
"219","agaro",2016,3,"L-03",1,"bot",52.84,12.6938461538462,7.12311538461538
"220","agaro",2016,3,"L-03",2,"top",0,0,0
"221","agaro",2016,3,"L-03",2,"mid",33.73,4.52717948717948,0.401948717948712
"222","agaro",2016,3,"L-03",2,"bot",33.73,4.52717948717948,0.401948717948712
"223","agaro",2016,3,"L-03",3,"top",0,0,0
"224","agaro",2016,3,"L-03",3,"mid",0,0,0
"225","agaro",2016,3,"L-03",3,"bot",0,0,0
"226","agaro",2016,3,"L-54",1,"top",0,0,0
"227","agaro",2016,3,"L-54",1,"mid",0,0,0
"228","agaro",2016,3,"L-54",1,"bot",15.97,5.55384615384616,2.67311538461538
"229","agaro",2016,3,"L-54",2,"top",0,0,0
"230","agaro",2016,3,"L-54",2,"mid",0,0,0
"231","agaro",2016,3,"L-54",2,"bot",18.88,6.7974358974359,3.69658974358974
"232","agaro",2016,3,"L-54",3,"top",0,0,0
"233","agaro",2016,3,"L-54",3,"mid",0,0,0
"234","agaro",2016,3,"L-54",3,"bot",14.66,4.9940170940171,2.21237606837606
"235","agaro",2016,3,"L-45",1,"top",0,0,0
"236","agaro",2016,3,"L-45",1,"mid",0,0,0
"237","agaro",2016,3,"L-45",1,"bot",22.16,7.25384615384616,4.33311538461538
"238","agaro",2016,3,"L-45",2,"top",0,0,0
"239","agaro",2016,3,"L-45",2,"mid",0,0,0
"240","agaro",2016,3,"L-45",2,"bot",25.07,8.4974358974359,5.35658974358974
"241","agaro",2016,3,"L-45",3,"top",0,0,0
"242","agaro",2016,3,"L-45",3,"mid",0,0,0
"243","agaro",2016,3,"L-45",3,"bot",20.85,6.6940170940171,3.87237606837606
"244","agaro",2016,3,"7440",1,"top",0,0,0
"245","agaro",2016,3,"7440",1,"mid",0,0,0
"246","agaro",2016,3,"7440",1,"bot",0,0,0
"247","agaro",2016,3,"7440",2,"top",0,0,0
"248","agaro",2016,3,"7440",2,"mid",0,0,0
"249","agaro",2016,3,"7440",2,"bot",21.62,8.0274358974359,4.84658974358973
"250","agaro",2016,3,"7440",3,"top",0,0,0
"251","agaro",2016,3,"7440",3,"mid",0,0,0
"252","agaro",2016,3,"7440",3,"bot",0,0,0
"253","agaro",2016,3,"74148",1,"top",0,0,0
"254","agaro",2016,3,"74148",1,"mid",0,0,0
"255","agaro",2016,3,"74148",1,"bot",0,0,0
"256","agaro",2016,3,"74148",2,"top",0,0,0
"257","agaro",2016,3,"74148",2,"mid",0,0,0
"258","agaro",2016,3,"74148",2,"bot",0,0,0
"259","agaro",2016,3,"74148",3,"top",0,0,0
"260","agaro",2016,3,"74148",3,"mid",0,0,0
"261","agaro",2016,3,"74148",3,"bot",33.39,9.0840170940171,4.97237606837606
"262","agaro",2016,3,"74110",1,"top",0,0,0
"263","agaro",2016,3,"74110",1,"mid",0,0,0
"264","agaro",2016,3,"74110",1,"bot",0,0,0
"265","agaro",2016,3,"74110",2,"top",0,0,0
"266","agaro",2016,3,"74110",2,"mid",0,0,0
"267","agaro",2016,3,"74110",2,"bot",0,0,0
"268","agaro",2016,3,"74110",3,"top",0,0,0
"269","agaro",2016,3,"74110",3,"mid",0,0,0
"270","agaro",2016,3,"74110",3,"bot",0,0,0
"271","agaro",2016,3,"F-35",1,"top",0,0,0
"272","agaro",2016,3,"F-35",1,"mid",0,0,0
"273","agaro",2016,3,"F-35",1,"bot",0,0,0
"274","agaro",2016,3,"F-35",2,"top",0,0,0
"275","agaro",2016,3,"F-35",2,"mid",0,0,0
"276","agaro",2016,3,"F-35",2,"bot",18.88,6.7974358974359,3.69658974358974
"277","agaro",2016,3,"F-35",3,"top",0,0,0
"278","agaro",2016,3,"F-35",3,"mid",0,0,0
"279","agaro",2016,3,"F-35",3,"bot",0,0,0
"280","agaro",2016,3,"74140",1,"top",14.95,4.62153846153846,1.79684615384615
"281","agaro",2016,3,"74140",1,"mid",0,0,0
"282","agaro",2016,3,"74140",1,"bot",0,0,0
"283","agaro",2016,3,"74140",2,"top",0,0,0
"284","agaro",2016,3,"74140",2,"mid",22.75,7.9548717948718,4.54017948717949
"285","agaro",2016,3,"74140",2,"bot",0,0,0
"286","agaro",2016,3,"74140",3,"top",0,0,0
"287","agaro",2016,3,"74140",3,"mid",0,0,0
"288","agaro",2016,3,"74140",3,"bot",40.75,15.6471794871795,10.8709487179487
"289","agaro",2016,3,"74112",1,"top",0,0,0
"290","agaro",2016,3,"74112",1,"mid",0,0,0
"291","agaro",2016,3,"74112",1,"bot",0,0,0
"292","agaro",2016,3,"74112",2,"top",0,0,0
"293","agaro",2016,3,"74112",2,"mid",0,0,0
"294","agaro",2016,3,"74112",2,"bot",19.45,7.3174358974359,4.12658974358974
"295","agaro",2016,3,"74112",3,"top",0,0,0
"296","agaro",2016,3,"74112",3,"mid",0,0,0
"297","agaro",2016,3,"74112",3,"bot",0,0,0
"298","agaro",2016,4,"74140",1,"top",0,0,0
"299","agaro",2016,4,"74140",1,"mid",0,0,0
"300","agaro",2016,4,"74140",1,"bot",10,3,2.40311538461538
"301","agaro",2016,4,"74140",2,"top",0,0,0
"302","agaro",2016,4,"74140",2,"mid",0,0,0
"303","agaro",2016,4,"74140",2,"bot",10,3,2
"304","agaro",2016,4,"74140",3,"top",0,0,0
"305","agaro",2016,4,"74140",3,"mid",0,0,0
"306","agaro",2016,4,"74140",3,"bot",7,2,0.7
"307","agaro",2016,4,"F-59",1,"top",0,0,0
"308","agaro",2016,4,"F-59",1,"mid",0,0,0
"309","agaro",2016,4,"F-59",1,"bot",12,2,0.5
"310","agaro",2016,4,"F-59",2,"top",0,0,0
"311","agaro",2016,4,"F-59",2,"mid",0,0,0
"312","agaro",2016,4,"F-59",2,"bot",13,2,1
"313","agaro",2016,4,"F-59",3,"top",0,0,0
"314","agaro",2016,4,"F-59",3,"mid",0,0,0
"315","agaro",2016,4,"F-59",3,"bot",12,3,2
"316","agaro",2016,4,"L-03",1,"top",0,0,0
"317","agaro",2016,4,"L-03",1,"mid",0,0,0
"318","agaro",2016,4,"L-03",1,"bot",13,2,1.2
"319","agaro",2016,4,"L-03",2,"top",0,0,0
"320","agaro",2016,4,"L-03",2,"mid",12,4.52717948717948,0.401948717948712
"321","agaro",2016,4,"L-03",2,"bot",13,2,0.401948717948712
"322","agaro",2016,4,"L-03",3,"top",0,0,0
"323","agaro",2016,4,"L-03",3,"mid",0,0,0
